Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
7/09/2025,1ª (6 Aciertos),0,"0,00"
7/09/2025,2ª (5 Aciertos + C),5,"21.205,08"
7/09/2025,3ª (5 Aciertos),92,"576,22"
7/09/2025,4ª (4 Aciertos),5.291,"15,03"
7/09/2025,5ª (3 Aciertos),84.359,"4,00"
7/09/2025,Reintegro,384.514,"0,50"
