FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
12/06/2021,1,19,23,31,38,48,40,3
10/06/2021,2,19,26,29,41,42,45,4
5/06/2021,1,25,26,28,34,45,49,1
3/06/2021,1,2,9,19,30,49,16,8
29/05/2021,6,7,19,21,31,42,10,0
27/05/2021,12,14,37,39,41,47,6,9
22/05/2021,17,19,24,33,41,46,6,7
20/05/2021,2,13,15,17,32,40,28,6
15/05/2021,3,8,19,20,44,45,17,3
13/05/2021,3,14,23,29,35,48,6,8
8/05/2021,4,7,10,18,27,31,1,1
6/05/2021,1,14,21,26,35,49,32,9
1/05/2021,15,23,29,33,37,41,19,0
29/04/2021,1,4,36,37,42,43,15,5
24/04/2021,2,26,32,37,40,43,23,9
22/04/2021,8,15,19,23,27,33,5,5
17/04/2021,1,6,13,21,26,40,12,9
15/04/2021,14,19,20,23,24,29,15,2
10/04/2021,6,8,12,30,40,41,32,6
8/04/2021,10,18,26,35,41,48,2,8
3/04/2021,1,8,10,17,27,31,34,1
1/04/2021,6,11,20,24,36,41,44,4
27/03/2021,7,22,34,44,46,47,30,9
25/03/2021,5,18,19,26,39,49,30,4
20/03/2021,11,13,23,24,41,42,7,7
18/03/2021,2,26,28,44,45,47,20,8
13/03/2021,1,12,27,32,40,48,44,9
11/03/2021,1,2,17,28,36,42,16,8
6/03/2021,3,5,11,16,17,40,32,7
4/03/2021,2,7,8,13,32,42,6,0
27/02/2021,14,19,29,34,42,48,4,8
25/02/2021,13,25,30,33,36,43,7,9
20/02/2021,2,5,7,38,43,44,37,1
18/02/2021,1,3,9,29,36,41,37,3
13/02/2021,9,10,25,35,37,40,45,9
11/02/2021,2,3,8,10,39,48,44,3
6/02/2021,7,15,22,37,41,42,28,5
4/02/2021,5,9,11,33,46,49,10,2
30/01/2021,13,14,26,33,36,40,18,4
28/01/2021,3,26,31,35,46,49,17,3
23/01/2021,5,11,22,28,30,42,26,7
21/01/2021,8,14,31,42,43,44,20,4
16/01/2021,1,28,30,34,48,49,42,0
14/01/2021,10,12,14,39,41,45,6,3
9/01/2021,8,13,19,25,29,38,32,2
7/01/2021,18,24,32,33,35,46,19,3
2/01/2021,6,13,19,37,38,43,15,9
31/12/2020,4,5,7,15,24,38,41,0
26/12/2020,16,20,23,31,38,43,27,5
24/12/2020,4,6,11,32,36,43,1,4
19/12/2020,4,6,9,11,19,23,10,4
17/12/2020,3,11,24,38,40,43,8,6
12/12/2020,11,16,26,27,40,44,18,0
10/12/2020,9,12,13,18,22,36,2,7
5/12/2020,3,14,28,31,40,49,20,6
3/12/2020,2,14,19,30,32,49,16,9
28/11/2020,2,4,13,21,25,28,32,9
26/11/2020,17,22,26,29,31,44,20,9
21/11/2020,8,15,17,32,36,45,25,2
19/11/2020,3,6,12,30,44,46,39,0
14/11/2020,5,9,16,33,36,43,41,0
12/11/2020,3,21,27,36,37,46,26,7
7/11/2020,2,6,9,20,22,48,16,8
5/11/2020,1,4,10,22,31,41,29,0
31/10/2020,2,13,21,32,41,43,40,9
29/10/2020,1,22,27,34,47,49,11,6
24/10/2020,9,17,24,41,42,47,39,1
22/10/2020,13,17,31,36,39,43,19,6
17/10/2020,1,7,39,40,41,46,33,3
15/10/2020,1,10,13,23,42,48,40,2
10/10/2020,1,4,16,27,36,44,40,4
8/10/2020,1,6,9,11,21,39,19,1
3/10/2020,5,12,13,27,42,48,14,5
1/10/2020,4,6,10,25,29,41,19,8
26/09/2020,7,10,14,15,26,46,20,0
24/09/2020,3,10,13,15,31,48,43,6
19/09/2020,7,17,19,35,42,44,6,5
17/09/2020,8,18,19,20,36,40,37,9
12/09/2020,5,18,25,28,35,46,2,4
10/09/2020,23,29,30,36,37,43,33,7
5/09/2020,7,12,14,21,34,38,24,2
3/09/2020,10,11,13,26,44,45,37,5
29/08/2020,1,6,11,20,24,35,2,2
27/08/2020,9,16,35,42,47,49,27,8
22/08/2020,10,12,14,31,33,40,8,3
21/08/2025,6,22,34,38,43,46,36,2
30/08/2025,6,28,36,40,41,48,39,8
28/08/2025,2,11,12,19,38,45,21,5
25/08/2025,6,7,16,26,39,49,17,9
23/08/2025,14,25,31,40,43,49,33,4
1/09/2025,8,9,15,29,39,46,24,2
4/09/2025,8,9,17,28,41,46,44,8
