FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
3/10/2024,7,10,14,15,24,48,39,1
30/09/2024,4,8,17,25,30,36,11,9
28/09/2024,7,16,28,30,34,41,17,2
26/09/2024,5,13,15,17,19,47,2,0
23/09/2024,1,2,9,10,22,32,48,5
21/09/2024,5,12,13,38,39,47,41,6
19/09/2024,4,12,23,38,44,46,34,6
16/09/2024,1,9,11,34,35,44,13,9
14/09/2024,9,11,19,23,44,46,24,8
12/09/2024,8,10,22,36,44,45,28,6
9/09/2024,27,31,33,34,40,46,47,5
7/09/2024,1,10,12,23,33,41,40,6
5/09/2024,5,9,12,16,22,39,4,8
2/09/2024,15,16,34,35,38,39,26,0
31/08/2024,5,6,7,13,26,36,27,8
29/08/2024,1,9,13,18,26,48,23,6
26/08/2024,7,12,26,30,34,42,44,3
24/08/2024,1,8,15,17,27,46,26,8
22/08/2024,8,31,33,40,41,42,48,5
19/08/2024,5,7,16,35,37,41,4,9
17/08/2024,4,13,14,16,17,44,7,1
15/08/2024,13,16,22,32,39,45,12,8
12/08/2024,3,12,17,38,39,40,36,7
10/08/2024,3,26,38,43,46,49,19,2
8/08/2024,10,20,21,31,38,46,8,2
5/08/2024,11,18,36,41,44,49,35,4
3/08/2024,10,18,25,27,35,42,34,1
1/08/2024,2,10,11,15,34,48,21,8
29/07/2024,12,20,22,27,36,42,19,0
27/07/2024,1,5,13,32,42,44,2,4
25/07/2024,7,10,23,28,29,32,47,4
22/07/2024,2,4,11,18,38,48,3,7
20/07/2024,14,29,37,39,44,45,1,4
18/07/2024,2,7,12,14,25,35,44,8
15/07/2024,11,19,21,30,31,34,16,3
13/07/2024,5,6,7,13,23,48,8,0
11/07/2024,16,17,25,26,30,46,48,9
8/07/2024,4,5,12,21,39,48,42,1
6/07/2024,5,6,19,30,35,40,9,3
4/07/2024,1,10,22,38,45,48,29,1
1/07/2024,1,2,5,28,42,49,37,7
29/06/2024,2,5,8,13,29,48,38,2
27/06/2024,10,25,32,39,48,49,26,9
24/06/2024,6,12,22,34,36,44,42,1
22/06/2024,6,9,10,14,16,28,42,7
20/06/2024,2,27,31,39,47,48,20,9
17/06/2024,2,8,12,16,22,43,35,8
15/06/2024,18,31,37,39,45,47,44,0
13/06/2024,2,5,9,10,19,33,27,0
10/06/2024,2,5,12,19,28,43,30,2
8/06/2024,3,4,10,29,31,48,15,8
