Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
2025-09-07,1ª (6 Aciertos),0,0
2025-09-07,2ª (5 Aciertos + C),5,"21205,08"
2025-09-07,3ª (5 Aciertos),92,"576,22"
2025-09-07,4ª (4 Aciertos),5291,"15,03"
2025-09-07,5ª (3 Aciertos),84359,4
2025-09-07,Reintegro,384514,"0,5"
