Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
6/09/2025,6 Aciertor + R,0,0
6/09/2025,6 Aciertos,1,"1181824,81"
6/09/2025,5 + C,4,"47911,82"
6/09/2025,5 Aciertos,212,"1657,33"
6/09/2025,4 Aciertos,10582,"48,3"
6/09/2025,3 Aciertos,189193,8
6/09/2025,Reintegro,1035105,1
