Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
2025-09-07,ª (5 + 1),2,"6006341,6"
2025-09-07,2ª (5 + 0),2,"73208,82"
2025-09-07,3ª (4 + 1),51,"521,99"
2025-09-07,4ª (4 + 0),299,"103,87"
2025-09-07,5ª (3 + 1),1420,25
2025-09-07,6ª (3 + 0),12335,"9,35"
2025-09-07,7ª (2 + 1),19078,"4,65"
2025-09-07,8ª (2 + 0),170369,3
2025-09-07,Reintegro,283116,"1,5"
