Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
7/09/2025,ª (5 + 1),2,"6.006.341,60€"
7/09/2025,2ª (5 + 0),2,"73.208,82€"
7/09/2025,3ª (4 + 1),51,"521,99€"
7/09/2025,4ª (4 + 0),299,"103,87€"
7/09/2025,5ª (3 + 1),1.420,"25,00€"
7/09/2025,6ª (3 + 0),12.335,"9,35€"
7/09/2025,7ª (2 + 1),19.078,"4,65€"
7/09/2025,8ª (2 + 0),170.369,"3,00€"
7/09/2025,Reintegro,283.116,"1,50€"
